"","date","station","sensor","depth","wspeedavg"
"409","2022-09-24","TNHA","TNHA-SC",1,1.65208333333333
"410","2022-09-25","TNHA","TNHA-SC",1,2.94375
"411","2022-09-26","TNHA","TNHA-SC",1,0.81875
"412","2022-09-27","TNHA","TNHA-SC",1,0.491666666666667
"413","2022-09-28","TNHA","TNHA-SC",1,0.4625
"414","2022-09-29","TNHA","TNHA-SC",1,1.72083333333333
"415","2022-09-30","TNHA","TNHA-SC",1,2.58541666666667
"416","2022-10-01","TNHA","TNHA-SC",1,2.52708333333333
"417","2022-10-02","TNHA","TNHA-SC",1,0.45
"418","2022-10-03","TNHA","TNHA-SC",1,0.860416666666667
"419","2022-10-04","TNHA","TNHA-SC",1,0.160416666666667
"420","2022-10-05","TNHA","TNHA-SC",1,1.00833333333333
"421","2022-10-06","TNHA","TNHA-SC",1,0.891666666666667
"422","2022-10-07","TNHA","TNHA-SC",1,1.4
"423","2022-10-08","TNHA","TNHA-SC",1,1.49583333333333
"424","2022-10-09","TNHA","TNHA-SC",1,0.34375
"425","2022-10-10","TNHA","TNHA-SC",1,0.929166666666667
"426","2022-10-11","TNHA","TNHA-SC",1,1.25208333333333
"427","2022-10-12","TNHA","TNHA-SC",1,2.475
"428","2022-10-13","TNHA","TNHA-SC",1,3.00625
"429","2022-10-14","TNHA","TNHA-SC",1,3.74375
