time,Pm2.5,Pm10 0
2024-07-04T04:57:12.000Z,,
2024-07-04T05:08:51.000Z,7,9
2024-07-04T05:20:30.000Z,,
2024-07-04T05:32:09.000Z,,
2024-07-04T05:43:48.000Z,,
2024-07-04T05:55:27.000Z,,
2024-07-04T06:07:06.000Z,4,4
2024-07-04T06:18:45.000Z,,
2024-07-04T06:30:24.000Z,,
2024-07-04T06:42:03.000Z,,
2024-07-04T06:53:42.000Z,,
2024-07-04T07:05:21.000Z,,
2024-07-04T07:17:00.000Z,8,10
2024-07-04T07:28:39.000Z,,
2024-07-04T07:40:18.000Z,,
2024-07-04T07:51:57.000Z,,
2024-07-04T08:03:36.000Z,,
2024-07-04T08:15:15.000Z,4,4
2024-07-04T08:26:54.000Z,,
2024-07-04T08:38:33.000Z,,
2024-07-04T08:50:12.000Z,,
2024-07-04T09:01:51.000Z,,
2024-07-04T09:13:30.000Z,7,8
2024-07-04T09:25:09.000Z,,
2024-07-04T09:36:48.000Z,,
2024-07-04T09:48:27.000Z,,
2024-07-04T10:00:06.000Z,,
2024-07-04T10:11:45.000Z,,
2024-07-04T10:23:24.000Z,4,4
2024-07-04T10:35:03.000Z,,
2024-07-04T10:46:42.000Z,,
2024-07-04T10:58:21.000Z,,
2024-07-04T11:10:00.000Z,,
2024-07-04T11:21:39.000Z,4,5
2024-07-04T11:33:18.000Z,,
2024-07-04T11:44:57.000Z,,
2024-07-04T11:56:36.000Z,,
2024-07-04T12:08:15.000Z,,
2024-07-04T12:19:54.000Z,4,4
2024-07-04T12:31:33.000Z,,
2024-07-04T12:43:12.000Z,,
2024-07-04T12:54:51.000Z,,
2024-07-04T13:06:30.000Z,,
2024-07-04T13:18:09.000Z,7,8
2024-07-04T13:29:48.000Z,,
2024-07-04T13:41:27.000Z,,
2024-07-04T13:53:06.000Z,,
2024-07-04T14:04:45.000Z,,
2024-07-04T14:16:24.000Z,,
2024-07-04T14:28:03.000Z,4,4
2024-07-04T14:39:42.000Z,,
2024-07-04T14:51:21.000Z,,
2024-07-04T15:03:00.000Z,,
2024-07-04T15:14:39.000Z,,
2024-07-04T15:26:18.000Z,4,5
2024-07-04T15:37:57.000Z,,
2024-07-04T15:49:36.000Z,,
2024-07-04T16:01:15.000Z,,
2024-07-04T16:12:54.000Z,,
2024-07-04T16:24:33.000Z,4,4
2024-07-04T16:36:12.000Z,,
2024-07-04T16:47:51.000Z,,
2024-07-04T16:59:30.000Z,,
2024-07-04T17:11:09.000Z,,
2024-07-04T17:22:48.000Z,,
2024-07-04T17:34:27.000Z,4,5
2024-07-04T17:46:06.000Z,,
2024-07-04T17:57:45.000Z,,
2024-07-04T18:09:24.000Z,,
2024-07-04T18:21:03.000Z,,
2024-07-04T18:32:42.000Z,4,4
2024-07-04T18:44:21.000Z,,
2024-07-04T18:56:00.000Z,,
2024-07-04T19:07:39.000Z,,
2024-07-04T19:19:18.000Z,,
2024-07-04T19:30:57.000Z,7,8
2024-07-04T19:42:36.000Z,,
2024-07-04T19:54:15.000Z,,
2024-07-04T20:05:54.000Z,,
2024-07-04T20:17:33.000Z,,
2024-07-04T20:29:12.000Z,4,4
2024-07-04T20:40:51.000Z,,
2024-07-04T20:52:30.000Z,,
2024-07-04T21:04:09.000Z,,
2024-07-04T21:15:48.000Z,,
2024-07-04T21:27:27.000Z,,
2024-07-04T21:39:06.000Z,4,5
2024-07-04T21:50:45.000Z,,
2024-07-04T22:02:24.000Z,,
2024-07-04T22:14:03.000Z,,
2024-07-04T22:25:42.000Z,,
2024-07-04T22:37:21.000Z,4,4
2024-07-04T22:49:00.000Z,,
2024-07-04T23:00:39.000Z,,
2024-07-04T23:12:18.000Z,,
2024-07-04T23:23:57.000Z,,
2024-07-04T23:35:36.000Z,4,4
2024-07-04T23:47:15.000Z,,
2024-07-04T23:58:54.000Z,,
2024-07-05T00:10:33.000Z,,
2024-07-05T00:22:12.000Z,,
2024-07-05T00:33:51.000Z,4,4
2024-07-05T00:45:30.000Z,,
2024-07-05T00:57:09.000Z,,
2024-07-05T01:08:48.000Z,,
2024-07-05T01:20:27.000Z,,
2024-07-05T01:32:06.000Z,,
2024-07-05T01:43:45.000Z,4,5
2024-07-05T01:55:24.000Z,,
2024-07-05T02:07:03.000Z,,
2024-07-05T02:18:42.000Z,,
2024-07-05T02:30:21.000Z,,
